,event_team,top_1,top_2,top_3
0,AC Ajaccio,0.6666666666666666,0.6666666666666666,0.42857142857142855
1,AC Milan,1.0,0.5,0.2403846153846154
2,AJ Auxerre,0.2222222222222222,0.2,0.16
3,AS Monaco,0.3333333333333333,0.3,0.26136363636363635
4,AS Nancy Lorraine,0.5,0.3333333333333333,0.3333333333333333
5,AS Roma,1.0,0.6666666666666666,0.375
6,Alaves,0.2857142857142857,0.2,0.2
7,Almeria,1.0,0.21428571428571427,0.1951219512195122
8,Angers,0.2857142857142857,0.25,0.25
9,Arsenal,0.5,0.25,0.23404255319148937
10,Aston Villa,0.3333333333333333,0.2727272727272727,0.25
11,Atalanta,0.5,0.2857142857142857,0.2222222222222222
12,Athletic Bilbao,0.3333333333333333,0.25,0.21052631578947367
13,Atletico Madrid,0.42857142857142855,0.25,0.25
14,Barcelona,0.38461538461538464,0.28,0.25
15,Bastia,1.0,1.0,0.2608695652173913
16,Bayer Leverkusen,0.3076923076923077,0.2857142857142857,0.2
17,Bayern Munich,0.2727272727272727,0.23529411764705882,0.2
18,Bologna,1.0,0.5,0.21666666666666667
19,Bordeaux,0.5,0.5,0.2
20,Borussia Dortmund,0.5,0.3333333333333333,0.2222222222222222
21,Borussia Monchengladbach,0.22727272727272727,0.21052631578947367,0.1875
22,Bournemouth,0.5,0.3,0.22916666666666666
23,Brest,1.0,0.6666666666666666,0.1111111111111111
24,Burnley,0.2222222222222222,0.2,0.125
25,Caen,0.5,0.42857142857142855,0.2857142857142857
26,Cagliari,0.25,0.23529411764705882,0.23076923076923078
27,Cardiff,0.2857142857142857,0.16666666666666666,0.14285714285714285
28,Carpi,0.5,0.3333333333333333,0.2
29,Catania,1.0,0.3333333333333333,0.1171875
30,Celta Vigo,1.0,0.5,0.2857142857142857
31,Cesena,0.3333333333333333,0.2857142857142857,0.25
32,Chelsea,0.25,0.22380952380952382,0.16666666666666666
33,Chievo Verona,0.3333333333333333,0.3,0.2
34,Cordoba,0.3333333333333333,0.3333333333333333,0.13157894736842105
35,Crotone,1.0,0.4,0.16666666666666666
36,Crystal Palace,0.375,0.25,0.2222222222222222
37,Deportivo La Coruna,0.3333333333333333,0.3076923076923077,0.2
38,Dijon FCO,0.25,0.25,0.25
